x_cm,C_final,B_bound,I_internal,E_epi
0.74301676,0.52499081,0.41877279,0.85088476,0.14003408
0.74860335,0.52520764,0.41886933,0.85077158,0.13993687
0.75418994,0.52542468,0.41896591,0.85065825,0.13983967
0.75977654,0.52564193,0.41906254,0.85054479,0.13974248
0.76536313,0.52585939,0.41915921,0.85043118,0.1396453
0.77094972,0.52607706,0.41925594,0.85031742,0.13954813
0.77653631,0.52629495,0.41935272,0.85020352,0.13945098
0.78212291,0.52651304,0.41944954,0.85008948,0.13935383
0.7877095,0.52673135,0.41954642,0.84997529,0.1392567
0.79329609,0.52694988,0.41964334,0.84986096,0.13915957
0.79888268,0.52716861,0.41974032,0.84974648,0.13906246
0.80446927,0.52738756,0.41983734,0.84963186,0.13896536
0.81005587,0.52760673,0.41993441,0.84951709,0.13886827
0.81564246,0.5278261,0.42003153,0.84940218,0.13877119
0.82122905,0.52804569,0.4201287,0.84928712,0.13867412
0.82681564,0.5282655,0.42022592,0.84917192,0.13857707
0.83240223,0.52848552,0.42032319,0.84905657,0.13848002
0.83798883,0.52870575,0.42042051,0.84894107,0.13838299
0.84357542,0.5289262,0.42051787,0.84882543,0.13828597
0.84916201,0.52914687,0.42061529,0.84870964,0.13818895
0.8547486,0.52936775,0.42071276,0.84859371,0.13809195
0.8603352,0.52958884,0.42081027,0.84847763,0.13799496
0.86592179,0.52981015,0.42090783,0.8483614,0.13789799
0.87150838,0.53003168,0.42100545,0.84824503,0.13780102
0.87709497,0.53025343,0.42110311,0.8481285,0.13770407
0.88268156,0.53047539,0.42120082,0.84801184,0.13760712
0.88826816,0.53069757,0.42129858,0.84789502,0.13751019
0.89385475,0.53091996,0.42139639,0.84777806,0.13741327
0.89944134,0.53114257,0.42149425,0.84766095,0.13731636
0.90502793,0.5313654,0.42159216,0.84754369,0.13721946
0.91061453,0.53158845,0.42169012,0.84742629,0.13712258
0.91620112,0.53181172,0.42178812,0.84730873,0.1370257
0.92178771,0.53203521,0.42188618,0.84719103,0.13692884
0.9273743,0.53225891,0.42198429,0.84707318,0.13683199
0.93296089,0.53248283,0.42208244,0.84695518,0.13673515
0.93854749,0.53270698,0.42218064,0.84683704,0.13663832
0.94413408,0.53293134,0.4222789,0.84671874,0.1365415
0.94972067,0.53315592,0.4223772,0.8466003,0.1364447
0.95530726,0.53338072,0.42247555,0.84648171,0.1363479
0.96089385,0.53360574,0.42257395,0.84636297,0.13625112
0.96648045,0.53383099,0.42267241,0.84624407,0.13615435
0.97206704,0.53405645,0.42277091,0.84612503,0.13605759
0.97765363,0.53428213,0.42286945,0.84600585,0.13596084
0.98324022,0.53450803,0.42296805,0.84588651,0.13586411
0.98882682,0.53473396,0.42306661,0.84576712,0.13576747
0.99441341,0.53495349,0.42316234,0.84565102,0.13567363
1,0.53495349,0.42316234,0.84565102,0.13567363
