x_cm,C_final,B_bound,I_internal,E_epi
0.65363128,0.15536583,0.28468749,0.56677239,0.082744275
0.65921788,0.15540594,0.2847326,0.56611278,0.082508756
0.66480447,0.15544618,0.28477753,0.56545184,0.082273451
0.67039106,0.15548655,0.28482227,0.56478956,0.082038361
0.67597765,0.15552704,0.28486682,0.56412594,0.081803488
0.68156425,0.15556766,0.28491118,0.56346098,0.081568831
0.68715084,0.15560841,0.28495533,0.56279468,0.081334393
0.69273743,0.15564928,0.2849993,0.56212704,0.081100173
0.69832402,0.15569027,0.28504305,0.56145806,0.080866174
0.70391061,0.15573139,0.28508661,0.56078773,0.080632395
0.70949721,0.15577263,0.28512995,0.56011607,0.080398838
0.7150838,0.155814,0.28517309,0.55944306,0.080165504
0.72067039,0.15585549,0.28521601,0.55876871,0.079932394
0.72625698,0.1558971,0.28525871,0.55809302,0.079699509
0.73184358,0.15593884,0.2853012,0.55741598,0.079466849
0.73743017,0.15598071,0.28534346,0.55673761,0.079234416
0.74301676,0.15602269,0.2853855,0.55605788,0.07900221
0.74860335,0.1560648,0.28542731,0.55537682,0.078770233
0.75418994,0.15610703,0.28546889,0.55469441,0.078538486
0.75977654,0.15614939,0.28551024,0.55401066,0.078306969
0.76536313,0.15619186,0.28555135,0.55332556,0.078075683
0.77094972,0.15623446,0.28559222,0.55263913,0.07784463
0.77653631,0.15627718,0.28563284,0.55195134,0.077613811
0.78212291,0.15632002,0.28567322,0.55126222,0.077383225
0.7877095,0.15636299,0.28571335,0.55057175,0.077152875
0.79329609,0.15640607,0.28575323,0.54987994,0.076922761
0.79888268,0.15644928,0.28579285,0.54918678,0.076692884
0.80446927,0.1564926,0.28583222,0.54849228,0.076463246
0.81005587,0.15653605,0.28587132,0.54779644,0.076233847
0.81564246,0.15657961,0.28591016,0.54709926,0.076004687
0.82122905,0.1566233,0.28594873,0.54640073,0.075775769
0.82681564,0.1566671,0.28598703,0.54570086,0.075547093
0.83240223,0.15671103,0.28602506,0.54499965,0.07531866
0.83798883,0.15675507,0.28606281,0.5442971,0.075090471
0.84357542,0.15679923,0.28610028,0.54359321,0.074862527
0.84916201,0.15684351,0.28613746,0.54288797,0.074634829
0.8547486,0.15688791,0.28617436,0.5421814,0.074407378
0.8603352,0.15693242,0.28621097,0.54147349,0.074180175
0.86592179,0.15697705,0.28624728,0.54076423,0.07395322
0.87150838,0.1570218,0.2862833,0.54005364,0.073726515
0.87709497,0.15706666,0.28631902,0.53934171,0.073500062
0.88268156,0.15711164,0.28635443,0.53862844,0.07327386
0.88826816,0.15715674,0.28638954,0.53791384,0.07304791
0.89385475,0.15720195,0.28642434,0.53719789,0.072822215
0.89944134,0.15724728,0.28645883,0.53648062,0.072596774
0.90502793,0.15729272,0.286493,0.535762,0.072371589
0.91061453,0.15733827,0.28652684,0.53504206,0.07214666
0.91620112,0.15738394,0.28656037,0.53432077,0.071921989
0.92178771,0.15742972,0.28659357,0.53359816,0.071697576
0.9273743,0.15747562,0.28662644,0.53287421,0.071473424
0.93296089,0.15752163,0.28665897,0.53214894,0.071249531
0.93854749,0.15756775,0.28669117,0.53142233,0.0710259
0.94413408,0.15761398,0.28672303,0.53069439,0.070802532
0.94972067,0.15766032,0.28675454,0.52996513,0.070579427
0.95530726,0.15770677,0.28678571,0.52923453,0.070356587
0.96089385,0.15775334,0.28681653,0.52850262,0.070134012
0.96648045,0.15780001,0.28684699,0.52776937,0.069911703
0.97206704,0.1578468,0.28687709,0.5270348,0.069689662
0.97765363,0.15789369,0.28690683,0.52629893,0.069467893
0.98324022,0.15794068,0.2869362,0.52556194,0.069246458
0.98882682,0.15798757,0.28696508,0.52482681,0.069026232
0.99441341,0.15803155,0.28699179,0.52413722,0.068820204
1,0.15803155,0.28699179,0.52413722,0.068820204
