x_cm,C_final,B_bound,I_internal,E_epi
0.8547486,0.51891402,0.57675349,1.0582163,0.1688959
0.8603352,0.51906844,0.57683054,1.0580503,0.1687807
0.86592179,0.5192231,0.57690765,1.0578842,0.16866551
0.87150838,0.519378,0.57698484,1.057718,0.16855032
0.87709497,0.51953314,0.57706209,1.0575516,0.16843515
0.88268156,0.51968852,0.57713941,1.0573851,0.16831998
0.88826816,0.51984413,0.5772168,1.0572184,0.16820482
0.89385475,0.51999999,0.57729425,1.0570516,0.16808968
0.89944134,0.52015608,0.57737178,1.0568846,0.16797454
0.90502793,0.52031242,0.57744937,1.0567175,0.16785941
0.91061453,0.52046899,0.57752703,1.0565502,0.1677443
0.91620112,0.52062581,0.57760476,1.0563828,0.16762919
0.92178771,0.52078286,0.57768255,1.0562152,0.16751409
0.9273743,0.52094016,0.57776042,1.0560475,0.167399
0.93296089,0.52109769,0.57783835,1.0558797,0.16728392
0.93854749,0.52125547,0.57791635,1.0557117,0.16716885
0.94413408,0.52141349,0.57799441,1.0555435,0.16705379
0.94972067,0.52157175,0.57807255,1.0553752,0.16693874
0.95530726,0.52173026,0.57815075,1.0552067,0.1668237
0.96089385,0.521889,0.57822903,1.0550381,0.16670867
0.96648045,0.52204799,0.57830736,1.0548694,0.16659365
0.97206704,0.52220722,0.57838577,1.0547005,0.16647864
0.97765363,0.5223667,0.57846425,1.0545314,0.16636364
0.98324022,0.52252641,0.57854279,1.0543623,0.16624865
0.98882682,0.52268623,0.57862133,1.054193,0.16613377
0.99441341,0.52284161,0.57869764,1.0540285,0.16602218
1,0.52284161,0.57869764,1.0540285,0.16602218
