scenario,capsid,promoter,peak_liver_epi,peak_kidney_epi,peak_liver_protein,peak_kidney_protein,auc_liver_isf,auc_kidney_isf,final_mass_balance_error
baseline,baseline_AAV,ubiquitous,5009.232501278482,145452.9448595961,5934.3158564182595,3590.368498936232,8176759222276.468,4862991104682.954,-4.1381835937499983e-14
liver_detargeted,liver_detargeted,ubiquitous,3012.625263294299,149704.0241835225,5887.894049980643,3590.5734102309057,8642293942555.021,5024171417022.827,2.905273437499998e-14
kidney_tropic,kidney_tropic,kidney_biased,5010.808132894294,503469.35735654214,2670.4822097491106,6230.922335681349,8226756982134.744,6406054851211.601,1.3427734375e-15
escape_enhanced,endosomal_escape_enhanced,ubiquitous,12373.414176889948,347356.2789139163,5972.705957050492,3593.199243281413,8176759221776.686,4862991104445.843,1.3793945312499995e-14
