scenario,capsid,promoter,auc_brain_isf,peak_bbb_endo,peak_cns_epi,peak_cns_protein,final_cns_deg,final_mass_balance_error
baseline,baseline_AAV,ubiquitous,56766411003.33106,499045.2579203709,12286.415500114223,102.78636406984333,5538631.4893950205,-3.4179687499999985e-15
BBB/capsid enhanced,cns_tropic,ubiquitous,1266177575914.0845,51355813.65005542,1335965.4991714587,3104.876137165632,399229556.92091626,1.2329101562499989e-14
CNS capsid + promoter,cns_tropic,cns_biased,1266177575848.7092,51355813.71364079,1335965.4991497276,5696.578354478855,399229556.93053997,1.2939453124999988e-14
escape + CNS promoter,endosomal_escape_enhanced,cns_biased,56766411003.169876,499045.2583373896,27596.178794014566,776.1715027011265,5538631.213716278,4.382324218749998e-14
