organ,half_life_h,peak_isf_conc_vg_ml,peak_isf_time_h,auc_isf_conc_vg_h_ml,auc_isf_amount_vg_h,auc_isf_amount_share_pct
liver,58.40992776459754,318153364119.2321,4.037142857142857,5963061758186.047,1311873586800.9304,25.63050630403647
spleen,61.65761677376627,437910872185.384,1.22,4874051618516.492,97481032370.32986,1.9045190328013322
kidney,21.2472401648333,237308198512.9091,2.0,3177958333094.9756,254236666647.59808,4.967105483935077
heart,23.16724607794008,211026635603.1208,1.3733333333333335,2416289613865.972,60407240346.649315,1.1801961485403263
muscle,32.65326349507521,34319790273.58829,15.799999999999999,1416177878830.2783,1699413454596.3342,33.20200032947629
lung,21.415118556248444,294181159305.35626,0.8400000000000001,2835321009830.9355,113412840393.23743,2.2157840129596638
brain,15.399953440254855,1114086931.4632232,15.668571428571427,49911067960.81128,3992885436.8649025,0.07801031775509844
rest,26.431814635599174,15199337184.625313,21.385714285714286,730365337749.8171,1577589129539.6052,30.821878370495735
