scenario,capsid,promoter,peak_liver_epi,peak_kidney_epi,peak_liver_protein,peak_kidney_protein,auc_liver_isf,auc_kidney_isf,final_mass_balance_error
baseline,baseline_AAV,ubiquitous,4683.317958429081,103806.18552335037,5913.119447466989,3587.5348144032737,6147710782091.418,3268787398888.5615,-3.4179687499999985e-15
liver_detargeted,liver_detargeted,ubiquitous,2797.7540506214164,100846.71723799592,5854.031514113321,3587.285198355913,5554362055321.8545,3177255819836.5415,6.555175781249998e-14
kidney_tropic,kidney_tropic,kidney_biased,4679.022536386864,357155.3843599067,2660.7912174610324,6229.089856935605,6075080929501.852,4263003299126.288,-1.477050781249999e-14
escape_enhanced,endosomal_escape_enhanced,ubiquitous,11561.821552633723,247863.99169954745,5961.904201264935,3591.628217962071,6147710781842.654,3268787398351.12,2.1484374999999992e-14
