route_id,route,capsid_id,capsid,organ,current_dose_vg,current_dose_vg_per_kg,current_auc_isf_amount_vg_h,reference_id,reference_product,reference_auc_isf_amount_vg_h,conservative_reference_auc_isf_amount_vg_h,exposure_margin_reference_over_current,conservative_margin_over_current,assessment,evidence_grade,inference_class,uncertainty_factor,comparator_scope,evidence_note,source_url
iv,Peripheral intravenous,aav5,AAV5,kidney,2800000000000000.0,40000000000000.0,180743617029951.5,roctavian_iv,ROCTAVIAN (valoctocogene roxaparvovec-rvox),271115425544927.25,203336569158695.44,1.5,1.125,below-conservative-contextual-upper-bound,moderate,approved-same-capsid-route,0.75,approved same capsid route,approved-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://www.fda.gov/media/169937/download
iv,Peripheral intravenous,aav5,AAV5,liver,2800000000000000.0,40000000000000.0,1429114062979660.5,roctavian_iv,ROCTAVIAN (valoctocogene roxaparvovec-rvox),2143671094469490.8,1607753320852118.0,1.5,1.125,below-conservative-contextual-upper-bound,moderate,approved-same-capsid-route,0.75,approved same capsid route,approved-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://www.fda.gov/media/169937/download
iv,Peripheral intravenous,aav5,AAV5,lung,2800000000000000.0,40000000000000.0,1537437337352712.5,roctavian_iv,ROCTAVIAN (valoctocogene roxaparvovec-rvox),2306156006029069.0,1729617004521801.8,1.5000000000000002,1.1250000000000002,below-conservative-contextual-upper-bound,moderate,approved-same-capsid-route,0.75,approved same capsid route,approved-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://www.fda.gov/media/169937/download
iv,Peripheral intravenous,aav5,AAV5,muscle,2800000000000000.0,40000000000000.0,2027781743059363.2,roctavian_iv,ROCTAVIAN (valoctocogene roxaparvovec-rvox),3041672614589045.0,2281254460941784.0,1.5,1.1250000000000002,below-conservative-contextual-upper-bound,moderate,approved-same-capsid-route,0.75,approved same capsid route,approved-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://www.fda.gov/media/169937/download
iv,Peripheral intravenous,aav5,AAV5,rest,2800000000000000.0,40000000000000.0,4372009752392064.0,roctavian_iv,ROCTAVIAN (valoctocogene roxaparvovec-rvox),6558014628588096.0,4918510971441072.0,1.5,1.125,below-conservative-contextual-upper-bound,moderate,approved-same-capsid-route,0.75,approved same capsid route,approved-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://www.fda.gov/media/169937/download
iv,Peripheral intravenous,aav5,AAV5,spleen,2800000000000000.0,40000000000000.0,170114098117066.12,roctavian_iv,ROCTAVIAN (valoctocogene roxaparvovec-rvox),255171147175599.2,191378360381699.38,1.5,1.125,below-conservative-contextual-upper-bound,moderate,approved-same-capsid-route,0.75,approved same capsid route,approved-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://www.fda.gov/media/169937/download
iv,Peripheral intravenous,aav8,AAV8,brain,2800000000000000.0,40000000000000.0,3608197489461.14,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,180409874473.057,135307405854.79276,0.05,0.0375,exceeds-conservative-contextual-upper-bound,low,clinical-same-capsid-route,0.75,clinical same capsid route,clinical-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aav8,AAV8,heart,2800000000000000.0,40000000000000.0,137208569558418.12,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,6860428477920.906,5145321358440.68,0.05,0.0375,exceeds-conservative-contextual-upper-bound,low,clinical-same-capsid-route,0.75,clinical same capsid route,clinical-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aav8,AAV8,kidney,2800000000000000.0,40000000000000.0,276209722621259.44,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,13810486131062.973,10357864598297.23,0.05,0.037500000000000006,exceeds-conservative-contextual-upper-bound,low,clinical-same-capsid-route,0.75,clinical same capsid route,clinical-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aav8,AAV8,liver,2800000000000000.0,40000000000000.0,3674114418586111.0,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,183705720929305.56,137779290696979.17,0.05,0.037500000000000006,exceeds-conservative-contextual-upper-bound,low,clinical-same-capsid-route,0.75,clinical same capsid route,clinical-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aav8,AAV8,lung,2800000000000000.0,40000000000000.0,669426831285962.0,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,33471341564298.1,25103506173223.58,0.05,0.037500000000000006,exceeds-conservative-contextual-upper-bound,low,clinical-same-capsid-route,0.75,clinical same capsid route,clinical-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
